"annotation_id","annotator","choice","created_at","id","image","lead_time","updated_at"
28138,"9","Abnormal","2025-10-11T18:39:35.251903Z",1028114,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/07/1728802811.000000000.jpg",2.377,"2025-10-11T18:39:35.251911Z"
27024,"9","","2025-10-08T07:43:40.872093Z",1028115,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/08/1728806457.000000000.jpg",1.343,"2025-10-08T07:43:40.872103Z"
28139,"9","","2025-10-11T18:39:40.855086Z",1028116,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/09/1728810058.000000000.jpg",4.863,"2025-10-11T18:39:40.855099Z"
28140,"9","","2025-10-11T18:39:43.497650Z",1028117,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/10/1728813691.000000000.jpg",2.114,"2025-10-11T18:39:43.497659Z"
27508,"9","","2025-10-10T16:32:47.040321Z",1028118,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/11/1728817304.000000000.jpg",2.315,"2025-10-10T16:32:47.040329Z"
28141,"9","","2025-10-11T18:39:45.965495Z",1028119,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/12/1728820921.000000000.jpg",1.239,"2025-10-11T18:39:45.965505Z"
28142,"9","","2025-10-11T18:39:48.442757Z",1028120,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/13/1728824533.000000000.jpg",1.954,"2025-10-11T18:39:48.442777Z"
28143,"9","","2025-10-11T18:39:51.880483Z",1028121,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/14/1728828144.000000000.jpg",2.542,"2025-10-11T18:39:51.880497Z"
28144,"9","","2025-10-11T18:39:53.539975Z",1028122,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/15/1728831746.000000000.jpg",1.12,"2025-10-11T18:39:53.540009Z"
28145,"9","","2025-10-11T18:39:55.279028Z",1028123,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/16/1728835383.000000000.jpg",0.743,"2025-10-11T18:39:55.279036Z"
28146,"9","","2025-10-11T18:39:59.180638Z",1028124,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/17/1728839009.000000000.jpg",3.235,"2025-10-11T18:39:59.180647Z"
27391,"9","","2025-10-10T16:27:47.202032Z",1028125,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/18/1728842621.000000000.jpg",3.261,"2025-10-10T16:27:47.202046Z"
28147,"9","","2025-10-11T18:40:03.405924Z",1028126,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/19/1728846258.000000000.jpg",3.691,"2025-10-11T18:40:03.405946Z"
28148,"9","","2025-10-11T18:40:09.461687Z",1028127,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/20/1728849885.000000000.jpg",5.058,"2025-10-11T18:40:09.461696Z"
28149,"9","","2025-10-11T18:41:36.623392Z",1028128,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/21/1728853505.000000000.jpg",1.629,"2025-10-11T18:41:36.623399Z"
28150,"9","","2025-10-11T18:41:38.041696Z",1028129,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/22/1728857132.000000000.jpg",0.785,"2025-10-11T18:41:38.041704Z"
28151,"9","","2025-10-11T18:41:39.187736Z",1028130,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/287/23/1728860752.000000000.jpg",0.756,"2025-10-11T18:41:39.187747Z"
28152,"9","","2025-10-11T18:41:40.381382Z",1028131,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/288/00/1728864388.000000000.jpg",0.741,"2025-10-11T18:41:40.381418Z"
28153,"9","","2025-10-11T18:41:59.316524Z",1028132,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/288/01/1728868000.000000000.jpg",1.121,"2025-10-11T18:41:59.316558Z"
28154,"9","","2025-10-11T18:42:03.276161Z",1028133,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/288/02/1728871601.000000000.jpg",3.271,"2025-10-11T18:42:03.276178Z"
28155,"9","","2025-10-11T18:42:06.304671Z",1028134,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/288/03/1728875205.000000000.jpg",2.516,"2025-10-11T18:42:06.304707Z"
28156,"9","","2025-10-11T18:42:09.056684Z",1028135,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/288/04/1728878807.000000000.jpg",1.928,"2025-10-11T18:42:09.056691Z"
28157,"9","","2025-10-11T18:42:10.401285Z",1028136,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/288/05/1728882440.000000000.jpg",0.718,"2025-10-11T18:42:10.401294Z"
28158,"9","","2025-10-11T18:42:12.086129Z",1028137,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/288/06/1728886054.000000000.jpg",0.713,"2025-10-11T18:42:12.086138Z"
28159,"9","","2025-10-11T18:42:13.348995Z",1028138,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/07/1729494023.000000000.jpg",0.657,"2025-10-11T18:42:13.349028Z"
28160,"9","","2025-10-11T18:42:15.106016Z",1028139,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/08/1729497627.000000000.jpg",0.777,"2025-10-11T18:42:15.106025Z"
28161,"9","","2025-10-11T18:42:16.376221Z",1028140,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/09/1729501265.000000000.jpg",0.621,"2025-10-11T18:42:16.376230Z"
28162,"9","","2025-10-11T18:42:17.827925Z",1028141,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/10/1729504865.000000000.jpg",0.628,"2025-10-11T18:42:17.827959Z"
28163,"9","","2025-10-11T18:42:19.241514Z",1028142,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/11/1729508493.000000000.jpg",0.929,"2025-10-11T18:42:19.241523Z"
28164,"9","","2025-10-11T18:42:21.108548Z",1028143,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/12/1729512097.000000000.jpg",1.182,"2025-10-11T18:42:21.108556Z"
28165,"9","","2025-10-11T18:42:22.756437Z",1028144,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/13/1729515702.000000000.jpg",1.023,"2025-10-11T18:42:22.756457Z"
28166,"9","","2025-10-11T18:42:24.277050Z",1028145,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/14/1729519333.000000000.jpg",1.02,"2025-10-11T18:42:24.277057Z"
28167,"9","","2025-10-11T18:42:25.959422Z",1028146,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/15/1729522954.000000000.jpg",0.938,"2025-10-11T18:42:25.959430Z"
28168,"9","","2025-10-11T18:42:28.146621Z",1028147,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/16/1729526595.000000000.jpg",1.419,"2025-10-11T18:42:28.146628Z"
28169,"9","","2025-10-11T18:42:30.721216Z",1028148,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/17/1729530203.000000000.jpg",1.738,"2025-10-11T18:42:30.721225Z"
28170,"9","","2025-10-11T18:42:32.081295Z",1028149,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/18/1729533803.000000000.jpg",0.839,"2025-10-11T18:42:32.081307Z"
28171,"9","","2025-10-11T18:42:33.351347Z",1028150,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/19/1729537436.000000000.jpg",0.685,"2025-10-11T18:42:33.351354Z"
28172,"9","","2025-10-11T18:42:34.547836Z",1028151,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/20/1729541038.000000000.jpg",0.753,"2025-10-11T18:42:34.547843Z"
28173,"9","","2025-10-11T18:42:36.033763Z",1028152,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/21/1729544651.000000000.jpg",1.022,"2025-10-11T18:42:36.033771Z"
28174,"9","","2025-10-11T18:42:38.037340Z",1028153,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/22/1729548263.000000000.jpg",1.161,"2025-10-11T18:42:38.037357Z"
28175,"9","","2025-10-11T18:42:39.265950Z",1028154,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/295/23/1729551897.000000000.jpg",0.519,"2025-10-11T18:42:39.265959Z"
28176,"9","","2025-10-11T18:42:41.271101Z",1028155,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/296/00/1729555537.000000000.jpg",1.416,"2025-10-11T18:42:41.271125Z"
28177,"9","","2025-10-11T18:42:42.805697Z",1028156,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/296/01/1729559140.000000000.jpg",0.94,"2025-10-11T18:42:42.805705Z"
28178,"9","","2025-10-11T18:42:44.655338Z",1028157,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/296/02/1729562753.000000000.jpg",1.456,"2025-10-11T18:42:44.655352Z"
28179,"9","","2025-10-11T18:42:45.913905Z",1028158,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/296/03/1729566355.000000000.jpg",0.857,"2025-10-11T18:42:45.913913Z"
28180,"9","","2025-10-11T18:42:47.423740Z",1028159,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/296/04/1729569997.000000000.jpg",0.59,"2025-10-11T18:42:47.423748Z"
28181,"9","","2025-10-11T18:42:48.479741Z",1028160,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/296/05/1729573607.000000000.jpg",0.659,"2025-10-11T18:42:48.479749Z"
28182,"9","","2025-10-11T18:43:00.456233Z",1028161,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/296/06/1729577221.000000000.jpg",11.471,"2025-10-11T18:43:00.456293Z"
28183,"9","Abnormal","2025-10-11T18:43:12.638724Z",1028162,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/07/1730098843.000000000.jpg",6.095000000000001,"2025-10-11T19:31:47.349943Z"
28184,"9","","2025-10-11T18:43:13.987337Z",1028163,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/08/1730102446.000000000.jpg",0.741,"2025-10-11T18:43:13.987346Z"
28185,"9","","2025-10-11T18:43:15.243108Z",1028164,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/09/1730106078.000000000.jpg",8.553,"2025-10-11T19:32:43.609630Z"
27932,"11","","2025-10-11T18:21:54.617647Z",1028165,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/10/1730109682.000000000.jpg",7.675000000000001,"2025-10-11T19:32:47.317709Z"
28186,"9","Abnormal","2025-10-11T18:43:16.665915Z",1028166,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/11/1730113286.000000000.jpg",5.616,"2025-10-11T19:32:51.350483Z"
27616,"9","","2025-10-10T16:43:29.126961Z",1028167,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/12/1730116912.000000000.jpg",1.1,"2025-10-10T16:43:29.126968Z"
28476,"9","Abnormal","2025-10-11T19:31:16.782214Z",1028168,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/13/1730120512.000000000.jpg",14.735,"2025-10-11T19:31:16.782222Z"
28188,"9","","2025-10-11T18:43:29.125892Z",1028169,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/14/1730124127.000000000.jpg",2.77,"2025-10-11T18:43:29.125899Z"
28189,"9","","2025-10-11T18:43:30.850123Z",1028170,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/15/1730127727.000000000.jpg",1.06,"2025-10-11T18:43:30.850131Z"
27780,"9","","2025-10-10T23:29:41.331045Z",1028171,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/16/1730131330.000000000.jpg",1.322,"2025-10-10T23:29:41.331053Z"
28190,"9","","2025-10-11T18:43:32.267932Z",1028172,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/17/1730134942.000000000.jpg",0.767,"2025-10-11T18:43:32.267966Z"
28191,"9","","2025-10-11T18:43:33.759517Z",1028173,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/18/1730138545.000000000.jpg",0.721,"2025-10-11T18:43:33.759525Z"
28192,"9","","2025-10-11T18:43:35.174327Z",1028174,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/19/1730142151.000000000.jpg",0.67,"2025-10-11T18:43:35.174336Z"
28193,"9","","2025-10-11T18:43:36.549492Z",1028175,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/20/1730145791.000000000.jpg",0.656,"2025-10-11T18:43:36.549512Z"
28194,"9","","2025-10-11T18:43:38.107826Z",1028176,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/21/1730149431.000000000.jpg",1.158,"2025-10-11T18:43:38.107840Z"
28195,"9","","2025-10-11T18:43:39.439665Z",1028177,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/22/1730153033.000000000.jpg",0.84,"2025-10-11T18:43:39.439683Z"
28196,"9","","2025-10-11T18:43:42.873474Z",1028178,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/302/23/1730156636.000000000.jpg",2.796,"2025-10-11T18:43:42.873492Z"
28197,"9","","2025-10-11T18:43:44.807765Z",1028179,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/303/00/1730160269.000000000.jpg",1.281,"2025-10-11T18:43:44.807773Z"
28198,"9","","2025-10-11T18:43:46.343462Z",1028180,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/303/01/1730163882.000000000.jpg",1.03,"2025-10-11T18:43:46.343473Z"
28199,"9","","2025-10-11T18:43:49.873771Z",1028181,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/303/02/1730167487.000000000.jpg",3.064,"2025-10-11T18:43:49.873781Z"
28200,"9","","2025-10-11T18:43:53.564791Z",1028182,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/303/03/1730171111.000000000.jpg",2.934,"2025-10-11T18:43:53.564807Z"
28201,"9","","2025-10-11T18:43:56.217244Z",1028183,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/303/04/1730174713.000000000.jpg",1.389,"2025-10-11T18:43:56.217251Z"
28202,"9","","2025-10-11T18:43:58.404959Z",1028184,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/303/05/1730178346.000000000.jpg",1.476,"2025-10-11T18:43:58.404984Z"
28203,"9","","2025-10-11T18:44:00.054935Z",1028185,"https://tools.alertcalifornia.org/fireframes5/digitalpath-redis/Axis-CoronadoHillsS/2024/303/06/1730181960.000000000.jpg",1.119,"2025-10-11T18:44:00.054946Z"
